Actual,Predicted,error,ape
42,50.999783,-8.99978256225586,0.2142805371965681
50,42.046173,7.953826904296875,0.1590765380859375
100,62.641598,37.358402252197266,0.37358402252197265
50,46.750828,3.2491722106933594,0.06498344421386719
47,73.33476,-26.334762573242188,0.5603140973030253
33,43.50424,-10.50423812866211,0.31831024632309424
75,49.37859,25.621410369873047,0.34161880493164065
50,55.713757,-5.713756561279297,0.11427513122558594
50,73.46282,-23.46282196044922,0.46925643920898436
50,41.95714,8.042858123779297,0.16085716247558593
75,63.420254,11.57974624633789,0.15439661661783854
58,78.251396,-20.25139617919922,0.3491620030896417
41,49.608204,-8.608203887939453,0.20995619238876714
50,48.55837,1.4416313171386719,0.028832626342773438
50,46.118187,3.8818130493164062,0.07763626098632813
50,45.806793,4.193206787109375,0.0838641357421875
83,98.31679,-15.316787719726562,0.18453961108104291
100,82.78991,17.21009063720703,0.17210090637207032
44,45.894455,-1.8944549560546875,0.04305579445578835
42,63.205826,-21.205825805664062,0.5049006144205729
67,75.737526,-8.737525939941406,0.1304108349244986
133,91.41258,41.58741760253906,0.31268735039503054
59,44.21254,14.787460327148438,0.2506349207991261
50,50.388195,-0.3881950378417969,0.0077639007568359375
41,39.442795,1.5572052001953125,0.03798061463891006
66,93.5596,-27.559600830078125,0.41756970954663825
67,46.378723,20.62127685546875,0.30778025157416045
50,69.979515,-19.979515075683594,0.39959030151367186
33,57.2983,-24.298301696777344,0.7363121726296165
50,48.347622,1.6523780822753906,0.03304756164550781
83,82.788864,0.2111358642578125,0.0025438055934676206
104,143.04553,-39.0455322265625,0.3754378098707933
50,46.65168,3.3483200073242188,0.06696640014648438
33,41.314148,-8.31414794921875,0.25194387724905304
50,49.3631,0.63690185546875,0.012738037109375
75,89.88711,-14.887107849121094,0.19849477132161458
33,48.361057,-15.36105728149414,0.46548658428770123
50,47.411846,2.588153839111328,0.05176307678222656
50,57.583954,-7.583953857421875,0.1516790771484375
33,22.584408,10.415592193603516,0.3156240058667732
50,45.041744,4.958255767822266,0.09916511535644532
34,40.922783,-6.922782897949219,0.20361126170438879
34,41.033207,-7.033206939697266,0.20685902763815486
125,49.789356,75.21064376831055,0.6016851501464844
50,57.510235,-7.510234832763672,0.15020469665527345
33,60.088078,-27.088077545166016,0.8208508347020005
50,61.898155,-11.898155212402344,0.23796310424804687
67,102.844154,-35.844154357910156,0.534987378476271
85,75.85052,9.149482727050781,0.10764097325942096
100,71.99856,28.001441955566406,0.2800144195556641
33,63.281006,-30.281005859375,0.9176062381628788
42,33.02049,8.979511260986328,0.21379788716634116
75,59.624424,15.37557601928711,0.20500768025716146
83,46.798534,36.20146560668945,0.43616223622517414
58,59.54197,-1.5419692993164062,0.026585677574420798
46,58.386658,-12.38665771484375,0.26927516771399457
66,57.05235,8.947650909423828,0.13557046832460345
33,76.70562,-43.70561981201172,1.3244127215761128
33,50.811703,-17.811702728271484,0.5397485675233783
83,91.720314,-8.720314025878906,0.1050640244081796
66,62.154236,3.84576416015625,0.05826915394176136
50,63.873024,-13.873023986816406,0.27746047973632815
117,75.47595,41.5240478515625,0.3549063918936966
75,72.64984,2.35015869140625,0.03133544921875
42,50.674797,-8.674797058105469,0.20654278709774926
