,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
2,1,10,3,3,1,0,0,4,4,9,11,1,17,-0.9659258262890683,-0.25881904510252063,3.7612001156935624,1750
10,1,2,1,2,1,0,0,4,4,6,11,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1650
14,8,2,4,4,0,0,0,4,9999999,8,5,0,17,-0.9659258262890683,-0.25881904510252063,4.189654742026425,1700
16,1,2,4,2,1,0,0,4,4,7,4,2,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1750
22,1,3,1,10,1,0,0,4,4,8,2,2,17,-0.9659258262890683,-0.25881904510252063,3.7376696182833684,1733
24,1,2,1,3,2,0,0,4,4,3,10,1,17,-0.9659258262890683,-0.25881904510252063,3.5263605246161616,1766
27,9,8,3,3,0,0,0,4,4,3,7,0,17,-0.9659258262890683,-0.25881904510252063,4.8283137373023015,1750
29,2,2,3,2,2,0,0,4,4,0,5,0,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1600
31,8,2,3,2,0,0,0,4,4,7,4,0,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1900
33,8,9,4,2,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1450
35,8,9,4,2,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1450
37,1,5,2,2,1,0,0,4,9999999,9999999,9999999,1,11,0.258819045102521,-0.9659258262890682,3.912023005428146,1150
43,2,2,2,2,0,0,0,4,4,7,4,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
45,1,2,2,2,0,10,0,4,1,9,8,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
50,1,2,2,2,1,0,0,4,1,9,13,3,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1850
54,1,2,4,2,1,0,0,4,4,9,10,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
70,2,6,2,6,2,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,4.189654742026425,1450
75,8,2,3,6,0,0,0,4,9999999,8,5,0,18,-1.0,-1.8369701987210297e-16,4.68213122712422,1808
79,23,2,4,4,0,0,0,4,9999999,9999999,9999999,0,12,1.2246467991473532e-16,-1.0,3.58351893845611,1275
81,23,14,4,6,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.4011973816621555,1500
83,1,2,4,2,1,3,0,4,2,5,10,1,17,-0.9659258262890683,-0.25881904510252063,4.204692619390966,1783
85,23,11,4,2,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.4011973816621555,1500
87,23,11,4,2,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.4011973816621555,1500
89,23,11,4,2,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.4011973816621555,1500
91,23,11,4,2,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.4011973816621555,1500
95,1,9,1,7,2,0,0,4,4,8,1,2,18,-1.0,-1.8369701987210297e-16,3.912023005428146,1850
99,1,2,1,4,2,0,0,4,4,9,8,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
101,1,3,1,7,1,0,0,4,4,9,8,1,20,-0.8660254037844386,0.5000000000000001,3.4965075614664802,2050
106,2,8,1,5,2,0,0,4,9999999,9999999,9999999,2,18,-1.0,-1.8369701987210297e-16,3.7376696182833684,1858
108,2,11,1,2,2,0,0,4,9999999,9999999,9999999,1,17,-0.9659258262890683,-0.25881904510252063,3.5263605246161616,1716
110,1,10,4,2,1,0,0,4,9999999,9999999,9999999,2,11,0.258819045102521,-0.9659258262890682,3.2188758248682006,1100
112,1,10,4,4,1,0,0,4,9999999,9999999,9999999,2,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1500
115,1,4,5,3,1,0,0,4,4,0,2,2,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1625
119,1,6,2,4,1,0,0,4,4,8,5,1,22,-0.5000000000000004,0.8660254037844384,3.912023005428146,2275
121,8,2,2,3,0,0,0,4,4,0,2,0,15,-0.7071067811865471,-0.7071067811865479,4.8283137373023015,1525
126,1,8,3,3,3,0,0,4,5,9,2,1,18,-1.0,-1.8369701987210297e-16,4.060443010546419,1850
130,14,3,3,5,0,0,0,4,9999999,6,4,0,16,-0.8660254037844384,-0.5000000000000004,4.68213122712422,1650
134,8,2,4,10,0,0,0,4,9999999,9,5,0,18,-1.0,-1.8369701987210297e-16,4.060443010546419,1825
138,8,9,2,3,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,4.919980925828125,1446
140,1,5,5,2,1,0,0,4,9999999,9999999,9999999,1,9,0.7071067811865476,-0.7071067811865475,3.4965075614664802,983
142,1,9,5,4,6,0,0,4,9999999,9999999,9999999,1,14,-0.4999999999999998,-0.8660254037844388,4.605170185988092,1400
146,1,3,5,4,1,0,0,4,4,3,13,2,18,-1.0,-1.8369701987210297e-16,3.5263605246161616,1816
149,1,7,5,7,3,0,0,4,4,3,13,1,21,-0.7071067811865477,0.7071067811865474,4.430816798843313,2141
152,1,2,3,2,1,0,0,4,4,5,1,1,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1400
156,1,2,3,4,1,0,0,4,4,5,1,2,1,0.25881904510252074,0.9659258262890683,3.912023005428146,150
158,1,2,3,2,1,0,0,4,9999999,9999999,9999999,3,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1500
163,1,2,4,5,1,0,0,4,4,4,1,4,16,-0.8660254037844384,-0.5000000000000004,3.7376696182833684,1616
167,1,2,4,4,1,0,0,4,4,9,5,2,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1950
169,1,7,4,2,1,0,0,4,9999999,9999999,9999999,3,13,-0.2588190451025208,-0.9659258262890683,3.4965075614664802,1300
176,1,2,3,5,1,0,0,4,9999999,9,2,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
178,14,11,3,9,1,0,0,4,9999999,9,2,1,21,-0.7071067811865477,0.7071067811865474,3.58351893845611,2100
183,2,7,1,3,2,0,0,4,4,1,9,0,12,1.2246467991473532e-16,-1.0,3.912023005428146,1250
186,1,7,1,6,1,0,0,4,4,1,9,1,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2025
190,1,2,3,2,1,0,0,4,4,9,8,1,14,-0.4999999999999998,-0.8660254037844388,3.713572066704308,1400
198,1,2,3,6,1,0,0,4,4,9,8,2,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1600
200,2,7,3,8,2,0,0,4,4,9,8,1,21,-0.7071067811865477,0.7071067811865474,3.7376696182833684,2141
203,1,6,1,3,1,0,0,4,4,4,2,1,13,-0.2588190451025208,-0.9659258262890683,4.060443010546419,1350
209,1,2,2,4,1,0,0,4,4,7,4,3,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1825
216,1,2,2,7,1,0,0,4,4,7,4,2,20,-0.8660254037844386,0.5000000000000001,3.4965075614664802,2050
218,1,2,2,2,1,0,0,4,9999999,9999999,9999999,1,20,-0.8660254037844386,0.5000000000000001,3.4965075614664802,2050
227,1,4,5,9,1,0,0,4,4,5,2,1,17,-0.9659258262890683,-0.25881904510252063,3.6109179126442243,1783
237,1,13,2,6,1,0,0,4,4,8,4,3,18,-1.0,-1.8369701987210297e-16,4.605170185988092,1850
240,1,3,3,3,3,0,0,4,9999999,3,13,0,18,-1.0,-1.8369701987210297e-16,4.605170185988092,1875
243,1,2,4,3,1,0,0,4,4,8,5,1,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1700
248,1,8,4,5,1,0,0,4,4,5,13,1,20,-0.8660254037844386,0.5000000000000001,4.31748811353631,2000
250,8,8,2,2,0,0,0,4,9999999,9999999,9999999,0,13,-0.2588190451025208,-0.9659258262890683,4.605170185988092,1300
252,1,2,2,3,2,0,0,4,4,9,13,1,18,-1.0,-1.8369701987210297e-16,4.189654742026425,1800
254,1,2,2,3,2,0,0,4,4,9,13,1,18,-1.0,-1.8369701987210297e-16,4.189654742026425,1800
256,1,2,2,2,1,0,0,4,1,4,3,2,18,-1.0,-1.8369701987210297e-16,4.605170185988092,1800
258,1,2,2,2,1,0,0,4,4,9,4,3,20,-0.8660254037844386,0.5000000000000001,4.7535901911063645,2000
268,1,4,4,10,1,0,0,4,4,9,9,1,18,-1.0,-1.8369701987210297e-16,3.5263605246161616,1816
271,1,2,4,3,1,0,0,4,4,9,9,2,19,-0.9659258262890684,0.2588190451025203,3.7376696182833684,1958
276,1,6,2,5,2,0,0,4,4,9,2,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1866
282,1,2,5,2,1,0,0,4,4,8,5,2,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1650
284,2,2,5,2,2,0,0,4,4,9,2,0,14,-0.4999999999999998,-0.8660254037844388,3.4965075614664802,1450
298,1,2,3,2,1,0,0,4,9999999,9,13,1,18,-1.0,-1.8369701987210297e-16,3.912023005428146,1850
302,14,2,4,2,0,0,0,4,9999999,9999999,9999999,0,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1800
304,1,2,4,2,1,0,0,4,1,9,8,2,12,1.2246467991473532e-16,-1.0,3.2188758248682006,1200
306,1,2,4,2,1,0,0,4,4,9,8,1,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1700
308,1,2,4,2,1,0,0,4,4,7,5,2,21,-0.7071067811865477,0.7071067811865474,3.912023005428146,2100
313,2,4,1,5,2,0,0,4,9999999,9999999,9999999,2,16,-0.8660254037844384,-0.5000000000000004,3.4965075614664802,1600
317,1,2,1,2,1,0,0,4,4,0,5,1,21,-0.7071067811865477,0.7071067811865474,4.31748811353631,2150
322,1,4,1,5,2,0,0,4,9999999,9999999,9999999,2,16,-0.8660254037844384,-0.5000000000000004,3.4965075614664802,1600
329,1,6,4,2,1,0,0,4,9999999,1,13,2,16,-0.8660254037844384,-0.5000000000000004,3.4965075614664802,1650
332,2,16,5,3,3,0,0,4,4,0,1,1,23,-0.25881904510252157,0.9659258262890681,3.2188758248682006,2350
334,1,2,3,2,1,0,0,4,9999999,0,3,2,16,-0.8660254037844384,-0.5000000000000004,4.060443010546419,1650
336,1,2,3,2,1,0,0,4,4,9,8,1,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1833
340,1,2,4,2,1,0,0,4,4,4,1,2,16,-0.8660254037844384,-0.5000000000000004,4.31748811353631,1616
342,1,2,4,2,1,0,0,4,4,5,5,4,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1805
344,1,2,3,2,1,0,0,4,9999999,8,5,1,17,-0.9659258262890683,-0.25881904510252063,4.189654742026425,1700
346,8,4,4,4,0,0,0,4,9999999,9999999,9999999,0,10,0.49999999999999994,-0.8660254037844387,4.68213122712422,1083
348,1,9,4,2,2,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.5263605246161616,1466
350,1,9,4,2,2,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.5263605246161616,1466
352,1,2,5,2,1,0,0,4,4,9,8,3,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1600
358,1,2,2,3,1,0,0,4,9999999,5,12,2,17,-0.9659258262890683,-0.25881904510252063,4.564348191467836,1700
360,1,7,2,5,1,0,0,4,9999999,5,12,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1858
362,1,2,2,2,1,0,0,4,4,4,11,4,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1750
371,2,7,2,3,4,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,4.430816798843313,1416
374,2,7,2,3,4,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,4.430816798843313,1416
385,1,4,4,11,2,0,0,4,4,9,1,2,19,-0.9659258262890684,0.2588190451025203,3.4965075614664802,1958
396,2,4,4,11,2,0,0,4,4,9,1,2,19,-0.9659258262890684,0.2588190451025203,3.4965075614664802,1958
398,1,11,2,2,3,0,0,4,9999999,9999999,9999999,2,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1500
401,1,2,2,1,1,0,0,4,4,4,8,1,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1950
407,2,6,5,1,4,0,0,4,4,7,13,1,5,0.9659258262890683,0.25881904510252074,3.2188758248682006,575
412,1,13,5,2,2,0,0,4,9999999,9999999,9999999,1,14,-0.4999999999999998,-0.8660254037844388,4.51085950651685,1400
414,1,13,5,5,3,0,0,4,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1550
416,1,2,5,2,1,0,0,4,4,7,1,2,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1725
422,2,10,5,3,2,0,0,4,9999999,9999999,9999999,3,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1550
424,1,14,1,2,1,0,0,4,9999999,9999999,9999999,1,10,0.49999999999999994,-0.8660254037844387,3.4965075614664802,1033
426,1,14,1,4,2,0,0,4,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1500
428,23,8,3,2,0,0,0,4,9999999,9999999,9999999,0,10,0.49999999999999994,-0.8660254037844387,4.060443010546419,1025
432,2,9,3,6,2,0,0,4,9999999,9999999,9999999,1,13,-0.2588190451025208,-0.9659258262890683,3.4965075614664802,1383
436,23,8,3,2,0,0,0,4,9999999,9999999,9999999,0,10,0.49999999999999994,-0.8660254037844387,4.060443010546419,1025
440,1,9,3,6,2,0,0,4,9999999,9999999,9999999,1,13,-0.2588190451025208,-0.9659258262890683,3.4965075614664802,1383
447,1,6,5,5,1,0,0,4,4,3,1,2,19,-0.9659258262890684,0.2588190451025203,3.713572066704308,1900
451,1,12,2,5,2,0,0,4,2,8,1,1,19,-0.9659258262890684,0.2588190451025203,3.7376696182833684,1941
453,1,13,2,7,2,0,0,4,2,8,1,1,23,-0.25881904510252157,0.9659258262890681,3.091042453358316,2376
455,2,2,2,2,2,0,0,4,1,0,5,0,23,-0.25881904510252157,0.9659258262890681,4.584967478670572,2300
459,2,10,3,2,2,0,0,4,9999999,9999999,9999999,0,16,-0.8660254037844384,-0.5000000000000004,3.5263605246161616,1691
465,1,2,5,6,1,0,0,4,4,0,7,1,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1733
471,1,2,5,6,1,0,0,4,4,9,5,2,22,-0.5000000000000004,0.8660254037844384,3.2188758248682006,2200
488,1,11,1,17,4,0,0,4,1,0,2,2,18,-1.0,-1.8369701987210297e-16,3.912023005428146,1850
490,1,9,1,19,1,0,0,4,1,0,2,2,20,-0.8660254037844386,0.5000000000000001,3.912023005428146,2050
493,1,10,2,3,1,0,0,4,4,9,2,3,12,1.2246467991473532e-16,-1.0,3.912023005428146,1200
495,1,2,2,5,1,0,0,4,4,9,2,3,12,1.2246467991473532e-16,-1.0,3.912023005428146,1200
497,2,11,2,2,4,0,0,4,9999999,9999999,9999999,2,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1825
503,2,16,2,6,4,0,0,4,9999999,9999999,9999999,2,18,-1.0,-1.8369701987210297e-16,3.912023005428146,1850
542,14,2,5,37,0,0,0,4,4,9,12,0,17,-0.9659258262890683,-0.25881904510252063,4.418840607796598,1700
545,8,11,5,3,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,4.31748811353631,1425
553,1,6,5,8,1,3,0,4,4,7,1,1,20,-0.8660254037844386,0.5000000000000001,4.204692619390966,2033
555,1,2,5,2,1,3,0,4,2,7,1,2,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1650
579,1,2,2,12,1,0,0,4,4,3,12,3,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1791
584,1,3,3,5,1,0,0,4,4,4,8,0,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1500
588,1,10,1,5,2,0,0,4,9999999,9,2,1,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1808
592,1,2,1,6,1,1,0,4,1,9,1,2,17,-0.9659258262890683,-0.25881904510252063,4.31748811353631,1783
600,2,10,1,6,2,0,0,4,9999999,9999999,9999999,1,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1808
602,1,2,2,2,1,0,0,4,4,9,2,1,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1750
611,1,4,3,5,1,0,0,4,4,4,2,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1750
623,1,2,3,7,1,0,0,4,4,3,1,1,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1906
629,1,9,3,6,1,0,0,4,4,9,1,2,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1750
639,2,5,1,4,2,0,0,4,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,4.060443010546419,1558
642,8,9,2,4,0,0,0,4,9999999,9999999,9999999,0,11,0.258819045102521,-0.9659258262890682,4.204692619390966,1183
645,1,2,1,2,1,0,0,4,4,5,1,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1800
649,1,15,1,4,2,1,0,4,4,4,1,2,15,-0.7071067811865471,-0.7071067811865479,4.8283137373023015,1550
655,2,15,1,4,2,1,0,4,1,8,1,2,15,-0.7071067811865471,-0.7071067811865479,4.8283137373023015,1550
662,1,4,1,5,1,0,0,4,9999999,8,1,2,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1800
664,2,11,1,3,3,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1508
668,14,2,2,5,2,0,0,4,1,0,2,1,16,-0.8660254037844384,-0.5000000000000004,4.8283137373023015,1683
672,1,2,2,4,2,0,0,4,4,9,2,2,17,-0.9659258262890683,-0.25881904510252063,4.060443010546419,1750
674,1,7,2,8,3,0,0,4,4,9,2,2,21,-0.7071067811865477,0.7071067811865474,3.713572066704308,2100
684,1,8,5,10,1,0,0,4,9999999,7,4,1,17,-0.9659258262890683,-0.25881904510252063,4.31748811353631,1750
688,1,2,5,4,1,0,0,4,4,9,2,1,17,-0.9659258262890683,-0.25881904510252063,3.7376696182833684,1716
690,23,8,5,6,0,0,0,4,4,9,2,0,22,-0.5000000000000004,0.8660254037844384,3.4965075614664802,2225
692,8,11,5,2,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.7376696182833684,1533
701,1,2,4,4,1,0,0,4,4,5,1,2,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1500
709,1,8,4,6,4,0,0,4,4,9,6,3,14,-0.4999999999999998,-0.8660254037844388,4.897839799950911,1491
713,1,8,4,15,1,0,0,4,4,9,6,3,22,-0.5000000000000004,0.8660254037844384,3.5263605246161616,2266
715,1,2,4,2,1,0,0,4,4,4,1,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1800
719,8,2,1,4,1,0,0,4,9999999,9,1,1,17,-0.9659258262890683,-0.25881904510252063,4.51085950651685,1725
721,1,11,2,3,1,0,0,4,4,9,1,2,12,1.2246467991473532e-16,-1.0,3.2188758248682006,1275
723,1,16,2,6,3,0,0,4,4,9,1,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
725,1,4,2,8,3,0,0,4,4,9,1,2,21,-0.7071067811865477,0.7071067811865474,3.58351893845611,2100
728,2,16,2,3,3,0,0,4,9999999,9999999,9999999,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
730,2,4,2,5,3,0,0,4,9999999,9999999,9999999,2,21,-0.7071067811865477,0.7071067811865474,3.58351893845611,2100
733,2,16,2,3,3,0,0,4,9999999,9999999,9999999,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
735,2,4,2,5,3,0,0,4,9999999,9999999,9999999,2,21,-0.7071067811865477,0.7071067811865474,3.58351893845611,2100
737,1,2,5,2,1,1,0,4,9999999,9,2,1,21,-0.7071067811865477,0.7071067811865474,3.912023005428146,2150
743,14,10,3,8,1,0,0,4,3,0,1,1,16,-0.8660254037844384,-0.5000000000000004,4.8283137373023015,1641
750,1,2,4,4,1,0,0,4,4,8,4,1,17,-0.9659258262890683,-0.25881904510252063,3.713572066704308,1775
758,1,2,1,2,1,1,0,4,9999999,9,2,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
770,1,2,3,2,1,0,0,4,9999999,9,2,1,17,-0.9659258262890683,-0.25881904510252063,4.204692619390966,1733
772,14,2,3,4,1,0,0,4,9999999,9,2,3,17,-0.9659258262890683,-0.25881904510252063,4.605170185988092,1750
776,1,2,4,4,1,0,0,4,9999999,7,3,2,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1975
780,1,2,4,4,1,0,0,4,9999999,8,5,0,17,-0.9659258262890683,-0.25881904510252063,4.31748811353631,1700
784,23,9,5,2,0,0,0,4,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1400
792,1,14,1,8,2,0,0,4,9999999,9999999,9999999,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1600
804,2,16,1,5,2,0,0,4,9999999,9999999,9999999,3,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1833
812,1,2,4,2,1,0,0,4,4,9,2,1,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1600
816,23,8,5,4,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1575
818,1,2,4,2,1,0,0,4,4,9,2,2,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1950
822,1,2,5,2,1,0,0,4,4,5,1,1,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1825
829,1,2,1,4,1,0,0,4,4,3,10,3,20,-0.8660254037844386,0.5000000000000001,3.1780538303479458,2026
832,2,4,2,3,2,0,0,4,9999999,9999999,9999999,0,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1650
834,2,8,2,5,2,0,0,4,9999999,9999999,9999999,0,21,-0.7071067811865477,0.7071067811865474,3.912023005428146,2100
836,2,5,2,7,3,0,0,4,9999999,9999999,9999999,0,23,-0.25881904510252157,0.9659258262890681,3.2188758248682006,2300
838,1,8,2,2,1,1,0,4,4,8,5,1,17,-0.9659258262890683,-0.25881904510252063,4.31748811353631,1725
842,1,2,4,2,1,0,0,4,4,9,3,2,15,-0.7071067811865471,-0.7071067811865479,3.6888794541139363,1510
865,1,11,2,2,1,0,0,4,9999999,9999999,9999999,3,18,-1.0,-1.8369701987210297e-16,4.605170185988092,1800
877,1,2,4,2,1,0,0,4,4,4,5,1,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1500
891,23,10,5,2,0,0,0,4,9999999,9999999,9999999,0,12,1.2246467991473532e-16,-1.0,3.912023005428146,1216
893,1,8,1,2,1,0,0,4,9999999,9999999,9999999,1,13,-0.2588190451025208,-0.9659258262890683,3.5263605246161616,1316
895,14,10,1,5,0,0,0,4,9999999,9999999,9999999,0,15,-0.7071067811865471,-0.7071067811865479,4.430816798843313,1516
897,1,7,1,8,1,0,0,4,9999999,9999999,9999999,1,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1950
899,1,4,1,10,1,0,0,4,9999999,9999999,9999999,1,22,-0.5000000000000004,0.8660254037844384,3.912023005428146,2200
904,1,10,2,3,1,0,0,4,9,9,1,1,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1941
906,2,4,2,5,2,0,0,4,9,9,1,2,20,-0.8660254037844386,0.5000000000000001,3.7376696182833684,2033
912,1,4,2,6,2,0,0,4,4,0,5,2,20,-0.8660254037844386,0.5000000000000001,3.7376696182833684,2033
939,1,2,2,4,1,0,0,4,4,0,1,1,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1750
953,1,3,4,10,1,3,0,4,2,7,1,1,18,-1.0,-1.8369701987210297e-16,4.48863636973214,1806
955,1,2,1,2,1,0,0,4,4,9,8,1,9,0.7071067811865476,-0.7071067811865475,4.31748811353631,900
961,1,8,4,2,1,0,0,4,9999999,9999999,9999999,2,11,0.258819045102521,-0.9659258262890682,3.5263605246161616,1116
964,1,9,4,5,1,0,0,4,9999999,9999999,9999999,2,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1450
971,14,2,4,4,0,0,0,4,9999999,4,5,0,16,-0.8660254037844384,-0.5000000000000004,4.31748811353631,1600
973,1,2,4,2,1,0,0,4,4,4,2,1,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1550
975,1,2,4,2,1,0,0,4,4,9,2,1,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1550
984,1,9,5,4,2,0,0,4,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,3.713572066704308,1550
1000,1,2,4,2,1,0,0,4,4,0,8,1,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1800
1002,1,2,4,2,1,0,0,4,4,4,11,2,15,-0.7071067811865471,-0.7071067811865479,3.2188758248682006,1525
1006,1,9,4,7,3,0,0,4,4,0,2,2,14,-0.4999999999999998,-0.8660254037844388,3.6888794541139363,1483
1008,2,7,4,10,2,0,0,4,4,0,2,0,18,-1.0,-1.8369701987210297e-16,3.2188758248682006,1816
1023,1,2,5,2,1,0,0,4,4,4,2,1,16,-0.8660254037844384,-0.5000000000000004,3.713572066704308,1600
1030,1,4,4,5,1,0,0,4,4,9,5,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1725
1035,1,2,2,2,1,0,0,4,4,9,3,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1750
1040,1,9,4,3,1,0,0,4,9999999,9999999,9999999,1,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1550
1045,1,3,4,5,1,0,0,4,5,9,2,1,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1700
1049,1,2,4,5,1,0,0,4,4,9,1,1,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1675
1051,1,2,4,3,4,0,0,4,4,9,2,2,16,-0.8660254037844384,-0.5000000000000004,4.418840607796598,1600
1057,2,6,4,4,4,0,0,4,9999999,9999999,9999999,2,16,-0.8660254037844384,-0.5000000000000004,4.007333185232471,1628
1061,1,2,1,2,1,0,0,4,9999999,7,1,2,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1900
1063,8,4,2,2,0,0,0,4,4,0,1,0,7,0.9659258262890683,-0.25881904510252063,3.7376696182833684,766
1067,1,4,2,6,1,0,0,4,4,0,1,1,19,-0.9659258262890684,0.2588190451025203,4.060443010546419,1925
1069,1,2,3,2,1,0,0,4,9999999,4,2,3,17,-0.9659258262890683,-0.25881904510252063,4.189654742026425,1750
1071,8,2,5,2,0,0,0,4,4,9999999,9999999,0,16,-0.8660254037844384,-0.5000000000000004,3.713572066704308,1650
1075,1,9,1,4,1,0,0,4,9999999,9999999,9999999,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1625
1078,1,5,1,3,1,0,0,4,4,9,3,2,18,-1.0,-1.8369701987210297e-16,3.912023005428146,1800
1082,1,2,5,2,2,0,0,4,9999999,4,2,1,14,-0.4999999999999998,-0.8660254037844388,4.605170185988092,1400
1087,23,2,5,6,0,0,0,4,1,3,13,0,19,-0.9659258262890684,0.2588190451025203,3.2188758248682006,1941
1089,2,2,5,2,2,0,0,4,9999999,4,13,1,14,-0.4999999999999998,-0.8660254037844388,4.605170185988092,1400
