,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
59141,1,2,4,2,1,0,0,3,9999999,9,2,2,17,-0.9659258262890683,-0.25881904510252063,3.713572066704308,1775
59143,1,7,4,4,1,0,0,3,9999999,9,2,2,19,-0.9659258262890684,0.2588190451025203,3.1354942159291497,1915
59155,1,9,4,3,1,0,0,3,2,9,2,1,17,-0.9659258262890683,-0.25881904510252063,3.5553480614894135,1723
59160,1,2,5,2,1,0,0,3,9999999,9,3,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1650
59162,1,2,5,2,1,0,0,3,2,4,10,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1775
59164,1,2,5,2,1,0,0,3,9999999,4,10,1,14,-0.4999999999999998,-0.8660254037844388,3.912023005428146,1450
59166,1,2,2,2,1,0,0,3,9999999,9,3,2,17,-0.9659258262890683,-0.25881904510252063,3.912023005428146,1750
59168,1,2,2,2,1,0,0,3,3,0,5,1,17,-0.9659258262890683,-0.25881904510252063,3.4965075614664802,1725
59176,2,6,3,5,2,0,0,3,9999999,9999999,9999999,0,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1600
59179,2,6,3,8,2,0,0,3,9999999,9999999,9999999,2,21,-0.7071067811865477,0.7071067811865474,4.31748811353631,2108
59184,1,6,3,5,2,0,0,3,9999999,9999999,9999999,1,21,-0.7071067811865477,0.7071067811865474,4.31748811353631,2108
59188,1,4,4,4,1,0,0,3,9999999,9999999,9999999,1,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1600
59190,1,11,5,2,1,0,0,3,9999999,9999999,9999999,1,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1475
59196,1,2,5,4,1,0,0,3,9999999,5,2,2,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1775
59203,1,3,3,4,1,0,0,3,1,9,4,3,21,-0.7071067811865477,0.7071067811865474,3.2188758248682006,2125
59208,23,2,3,6,0,0,0,3,9999999,9999999,9999999,0,18,-1.0,-1.8369701987210297e-16,3.4965075614664802,1825
59212,1,2,4,4,1,0,0,3,3,9,2,1,18,-1.0,-1.8369701987210297e-16,3.6375861597263857,1818
59218,2,6,2,4,2,0,0,3,9999999,9,8,0,19,-0.9659258262890684,0.2588190451025203,3.912023005428146,1900
59222,8,10,4,5,0,0,0,3,3,7,5,0,13,-0.2588190451025208,-0.9659258262890683,3.8066624897703196,1371
59224,9,11,5,2,0,0,0,3,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.5263605246161616,1466
59227,1,8,5,4,2,0,0,3,9999999,4,5,1,0,0.0,1.0,3.2188758248682006,0
59229,1,2,5,2,1,0,0,3,9999999,9,3,2,16,-0.8660254037844384,-0.5000000000000004,4.189654742026425,1650
59234,2,8,5,6,2,0,0,3,9999999,4,3,1,0,0.0,1.0,3.2188758248682006,0
59236,1,2,4,2,1,0,0,3,9999999,9,8,1,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1600
59238,8,2,5,3,2,0,0,3,3,4,3,2,16,-0.8660254037844384,-0.5000000000000004,4.5217885770490405,1683
59240,1,2,5,2,1,0,0,3,9999999,9,9,2,15,-0.7071067811865471,-0.7071067811865479,3.912023005428146,1550
59244,1,2,3,4,1,0,0,3,9999999,9,4,1,17,-0.9659258262890683,-0.25881904510252063,4.189654742026425,1750
59246,2,2,3,2,2,0,0,3,9999999,9,2,1,16,-0.8660254037844384,-0.5000000000000004,3.912023005428146,1650
59248,23,11,3,2,0,0,0,3,9999999,9999999,9999999,0,14,-0.4999999999999998,-0.8660254037844388,3.2188758248682006,1450
59250,2,17,1,2,2,0,0,3,9999999,9999999,9999999,2,16,-0.8660254037844384,-0.5000000000000004,3.2188758248682006,1675
59256,1,2,5,7,1,0,0,3,3,4,2,2,15,-0.7071067811865471,-0.7071067811865479,4.07753744390572,1516
